ID,Qualifications,Employment_Type,Age,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
30682,OTHERS,SEP,25,741181,Male,MC,121372,79.85,O,25000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30683,HSC,SAL,31,712306,Male,MC,95513,81.34,O,36000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30684,OTHERS,NREGI,35,700053,Female,MC,74268,90.18,O,20000,02 Megapolis (B),SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
30685,HSC,SEP,20,743435,Male,MC,134428,79.73,O,23000,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30686,OTHERS,SEP,23,743232,Male,MC,108292,71.72,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30687,HSC,SEP,31,742121,Male,MC,100935,66.34,O,32000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30688,OTHERS,SEP,39,700066,Male,SC,86786,75.45,O,40000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,DECLINED
30689,HSC,AGR,56,712501,Male,MC,110000,91.14,O,45000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30690,SSC,AGR,24,571422,Male,MC,153020,90.45,O,48000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30691,OTHERS,NREGI,27,571211,Male,MC,93286,92.71,O,45000,07 Rural,RADEON,TVS RADEON BSVI DIGI DRUM DUAL TONE,RADEON,NO_PAST_LOANS,DECLINED
30692,UG,SEP,22,274001,Male,MC,96000,83.48,O,35000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30693,OTHERS,SEP,43,273151,Male,MO,62971,83.96,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
30694,UG,STU,18,224149,Female,MC,89707,77.67,O,0,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30695,HSC,AGR,24,271302,Male,MC,104111,63.87,O,25000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30696,OTHERS,SAL,48,560071,Male,MO,45521,68.76,O,30000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30697,GRAD,SAL,18,562129,Male,MC,101469,81.26,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30698,HSC,AGR,56,562119,Male,MO,57293,85,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30699,SSC,SEP,29,560061,Male,MC,113363,84,R,40000,02 Megapolis (B),RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30700,SSC,SEP,21,312605,Male,MC,99750,85.12,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30701,SSC,SEP,63,313001,Male,MC,49500,39.13,O,40000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30702,PG,SAL,33,314001,Female,SC,89000,87.61,O,28000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
30703,PG,SAL,27,206001,Male,MC,134100,82.58,O,29000,07 Rural,APACHE,APACHE RTR 180 RM BSVI,APACHE 180 CC,NO_PAST_LOANS,APPROVED
30704,PG,SAL,26,283102,Male,MC,77165,51.11,O,34000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30705,PG,NPP,29,202124,Male,MC,81497,68.48,O,38362,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30706,GRAD,SAL,25,282002,Male,EB,115247,79.94,O,32000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30707,HSC,NPP,35,206242,Male,MC,126455,81.58,O,29000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30708,HSC,NREGI,23,574240,Male,SC,113805,91.17,O,70000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,DECLINED
30709,SSC,SEP,35,571422,Male,SC,93000,89.12,O,35000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
30710,OTHERS,AGR,35,274304,Male,MO,58144,79.76,O,28000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30711,HSC,AGR,21,271319,Male,MC,122717,81.27,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30712,HSC,AGR,22,272175,Male,MC,78499,67.94,O,28000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30713,HSC,AGR,23,273303,Male,MC,95680,82.84,O,21000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30714,OTHERS,SEP,33,274206,Male,MC,131999,84.41,O,30000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30715,PG,SAL,29,560016,Male,EB,134413,91.22,R,40000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30716,UG,NREGI,40,562107,Male,SC,83596,80.77,O,35000,02 Megapolis (B),JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
30717,GRAD,SEP,31,312605,Male,MC,71227,83.9,O,40000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
30718,UG,NREGI,50,313001,Male,EB,80000,54.14,O,35000,07 Rural,TVS,TVS IQUBE UG,EBIKE,NO_PAST_LOANS,APPROVED
30719,PG,SEP,39,313001,Male,MC,59270,80.04,O,29850,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
30720,GRAD,SAL,22,312604,Male,MC,96048,82.09,R,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,DECLINED
30721,PG,SAL,41,206001,Female,SC,76761,78.49,O,26000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
30722,UG,SEP,33,282010,Male,EB,89906,56.54,O,42000,04 Metro,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30723,HSC,SAL,24,571423,Male,SC,71443,57.69,O,32000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30724,HSC,NREGI,32,573102,Male,MC,92208,72.92,O,29000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30725,HSC,AGR,33,573122,Male,MC,113780,89.98,O,35000,05 Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30726,GRAD,SEP,23,576101,Female,SC,99364,86.93,O,25000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
30727,HSC,SEP,23,272192,Male,MC,95600,82.74,O,38000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30728,PG,AGR,45,271125,Male,MC,61562,84.33,O,25000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
30729,UG,SAL,25,224227,Female,MC,115550,76.12,O,21000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30730,GRAD,SAL,38,560091,Female,EB,138972,94.94,R,30000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30731,OTHERS,SAL,34,560037,Male,MC,120989,86.21,R,35000,02 Megapolis (B),RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30732,HSC,NREGI,38,563101,Female,SC,96521,83.5,O,55000,07 Rural,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
30733,UG,SAL,42,313027,Female,SC,59812,61.88,O,25000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
30734,GRAD,SAL,34,283102,Male,MC,70742,84.38,O,25000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,PAST_LOANS_ACTIVE,APPROVED
30735,GRAD,SAL,43,205152,Female,MC,130737,84.35,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30736,SSC,AGR,50,205151,Male,MC,65177,42.9,O,28000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30737,OTHERS,AGR,24,207248,Male,MC,117339,75.39,O,32000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30738,GRAD,AGR,63,571101,Male,MO,58000,84.96,O,40000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30739,SSC,AGR,53,573211,Male,MO,65920,96.66,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30740,HSC,AGR,33,571114,Male,MC,84277,87.23,O,65000,06 Semi-Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
30741,OTHERS,SAL,35,275305,Male,SC,92530,78.95,O,50000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
30742,GRAD,SEP,45,360002,Male,MC,75000,64.65,O,25000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30743,OTHERS,NREGI,24,361320,Male,MO,66000,88.55,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30744,GRAD,SEP,23,363520,Male,MC,92000,79.31,O,40000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30745,HSC,NREGI,27,362720,Male,MO,59500,84.84,O,15000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30746,UG,SAL,22,272194,Male,MC,118801,95.97,O,20000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30747,HSC,NREGI,23,272204,Male,MC,39560,25.5,O,28000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30748,PG,SAL,55,271401,Male,MO,50876,69.79,O,30000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30749,SSC,SEP,50,562114,Male,SC,87850,77.41,O,30000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,NO_PAST_LOANS,APPROVED
30750,HSC,SAL,24,562117,Male,SC,100704,81.81,R,35000,07 Rural,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
30751,GRAD,SAL,23,560030,Female,SC,89578,72.77,R,35000,06 Semi-Urban,NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
30752,PG,SAL,25,562125,Male,SC,81874,65.45,O,32000,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30753,GRAD,SAL,23,560091,Male,MO,57500,86.48,R,25000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30754,GRAD,SAL,37,560091,Male,SC,92254,73.46,R,31000,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30755,OTHERS,SEP,32,560076,Female,MO,40307,60.89,R,15000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30756,GRAD,SAL,44,560027,Female,SC,98336,79.87,R,33000,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30757,UG,SAL,47,560023,Female,SC,102571,83.39,R,30000,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
30758,HSC,SAL,36,562121,Female,SC,111973,90,O,35000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30759,SSC,NREGI,20,311803,Male,MC,64408,85.14,O,25000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
30760,UG,SEP,40,283105,Female,SC,54951,51.84,O,32000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
30761,SSC,NREGI,54,205152,Male,MC,55690,74.45,O,30000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
30762,HSC,SAL,51,283114,Male,MC,111316,72.73,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30763,UG,SAL,31,283204,Male,MC,72157,60.28,O,32000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30764,HSC,SAL,36,403714,Female,SC,101487,90.28,O,20000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
30765,HSC,SAL,19,403703,Male,SC,93500,79.64,O,40000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
30766,OTHERS,NREGI,41,571444,Female,MO,49619,72.68,O,36000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30767,OTHERS,AGR,36,576220,Male,SC,100300,83.93,O,45000,05 Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
30768,HSC,AGR,42,573121,Male,MO,58620,85.86,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30769,HSC,NREGI,32,571404,Male,MO,36522,45.85,O,29000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30770,OTHERS,SEP,27,570019,Male,SC,111994,93.52,O,35000,05 Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,DECLINED
30771,SSC,AGR,34,571134,Female,MC,84403,87.74,O,45000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
30772,GRAD,SEP,25,365601,Male,MC,95000,81.2,O,40000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30773,SSC,SEP,32,362001,Male,SC,92000,78.77,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
30774,OTHERS,SEP,47,361001,Male,MO,59300,82.42,O,70000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30775,OTHERS,AGR,48,274408,Male,MO,66500,91.17,O,26000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30776,HSC,SEP,44,272192,Male,MC,135264,83.09,O,39000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30777,OTHERS,SAL,36,560076,Female,SC,81223,65.3,O,92340,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30778,GRAD,SEP,30,560026,Male,EB,135306,84.63,O,35000,02 Megapolis (B),TVS,TVS IQUBE S,EBIKE,NO_PAST_LOANS,APPROVED
30779,OTHERS,SAL,36,562106,Male,SC,96866,79.33,R,31000,02 Megapolis (B),NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
30780,PG,SAL,24,560035,Male,SC,102366,84.59,R,35000,02 Megapolis (B),NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30781,OTHERS,SAL,34,560026,Male,EB,108761,74.3,R,20000,02 Megapolis (B),TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30782,HSC,SEP,28,562101,Male,SC,53215,42.07,O,45000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
30783,GRAD,SEP,30,560017,Female,SC,107330,86.26,O,45000,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30784,SSC,SEP,32,206124,Female,SC,77975,84.24,O,24000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
30785,SSC,NREGI,21,206131,Male,MC,126311,82.56,O,22000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30786,OTHERS,SAL,35,283101,Female,MO,47117,86.58,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30787,SSC,SAL,53,403004,Male,SC,96157,85.54,O,35000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
30788,PG,SAL,36,576225,Female,SC,53000,55.58,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
30789,SSC,AGR,43,571602,Male,MO,64500,94.48,O,55000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30790,OTHERS,SAL,29,570022,Female,SC,81678,85.66,L,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
30791,GRAD,AGR,37,571102,Female,SC,106300,84.97,O,30000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30792,HSC,NREGI,47,362530,Male,MC,105000,90.51,O,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30793,PG,NREGI,24,362268,Male,MC,88000,75.72,O,20000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30794,HSC,AGR,26,271301,Male,MC,64139,56.26,O,25000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30795,PG,SAL,21,271402,Male,MC,88458,58.75,O,40000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
30796,OTHERS,AGR,45,271313,Male,MC,101942,67.16,O,20000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30797,HSC,AGR,33,271312,Male,MO,47428,65.06,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30798,PG,SAL,31,560035,Male,SC,92800,91.09,O,30000,02 Megapolis (B),JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,DECLINED
30799,GRAD,SAL,31,562123,Female,SC,106000,86.47,R,15000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30800,PG,SAL,24,560041,Male,EB,135280,84.57,O,30000,02 Megapolis (B),TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30801,UG,SAL,44,560091,Male,SC,109860,89.98,O,35000,02 Megapolis (B),NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30802,OTHERS,SEP,45,560087,Male,SC,75003,60.29,L,50000,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30803,GRAD,SAL,42,560050,Female,SC,119428,83.49,L,25000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30804,GRAD,SEP,52,282003,Male,EB,120966,83.91,O,44000,04 Metro,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30805,OTHERS,SAL,29,282009,Male,MC,103318,86.31,O,35000,04 Metro,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
30806,PG,SAL,29,282005,Male,EB,117255,73.51,O,48000,07 Rural,TVS,TVS IQUBE S,EBIKE,NO_PAST_LOANS,APPROVED
30807,SSC,SAL,26,206245,Male,MC,99213,65.3,O,24000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30808,OTHERS,NREGI,56,571444,Male,MO,55520,81.11,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30809,OTHERS,AGR,24,274401,Male,MC,99703,83.78,O,24000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30810,OTHERS,SAL,35,272151,Male,MC,53400,36.04,O,26000,07 Rural,APACHE,APACHE RTR 160 2V BSVI DISC,160 DISC,NO_PAST_LOANS,APPROVED
30811,HSC,SEP,26,273302,Male,MC,126200,83.58,O,30000,06 Semi-Urban,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30812,GRAD,AGR,24,272207,Male,MC,111338,73.35,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30813,OTHERS,AGR,39,273165,Male,MC,50138,67.3,O,30000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
30814,HSC,AGR,21,271303,Male,MC,63411,84.89,O,25000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
30815,HSC,SEP,44,273304,Female,MC,93879,81.63,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30816,GRAD,SAL,36,560073,Male,SC,110000,89.29,R,15000,02 Megapolis (B),NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30817,HSC,AGR,31,562135,Female,MO,60133,89.22,O,45000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30818,GRAD,SAL,21,560057,Male,MC,102500,82.2,R,22000,02 Megapolis (B),RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
30819,HSC,SAL,40,563130,Female,SC,109318,86.42,O,21500,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
30820,OTHERS,AGR,34,562125,Male,EB,143072,89.43,O,50000,02 Megapolis (B),TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30821,OTHERS,SEP,36,560083,Female,SC,96753,76.48,O,30000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
30822,UG,SEP,45,560066,Male,MO,52726,79.3,O,45000,02 Megapolis (B),MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
30823,UG,SAL,31,560021,Male,SC,101225,84.28,O,27000,02 Megapolis (B),NTORQ,NTORQ 125 DISC â€“ RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
30824,OTHERS,SEP,49,282007,Male,MO,35094,64.49,O,30000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
30825,GRAD,SAL,47,282005,Male,EB,131005,90.87,O,48000,07 Rural,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30826,GRAD,SEP,37,282003,Male,EB,97168,67.67,O,38000,04 Metro,TVS,TVS IQUBE UG,EBIKE,PAST_LOANS_ACTIVE,APPROVED
30827,HSC,AGR,29,822120,Male,MC,131500,78.04,O,35000,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,NO_PAST_LOANS,APPROVED
30828,HSC,SEP,24,832403,Male,MC,76439,50.66,O,28000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
30829,HSC,SEP,19,403724,Male,SC,74226,75.24,O,20000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,NO_PAST_LOANS,APPROVED
